Name,address,phonenumber,imageurl
HOME 2 SUITES BY HILTON,3301 Gaston,214-765-2690,https://downtowndallas.com/wp-content/uploads/2018/09/home2-suites-by-hilton-320x311.jpg
MAGNOLIA HOTEL,1401 Commerce Street,214-915-6500,https://downtowndallas.com/wp-content/uploads/2018/09/Magnolia-320x320.jpg



